"","rank","name","industry"
"1","1.","Mukesh Ambani","Diversified"
"2","2.","Gautam Adani & family","Diversified"
"3","3.","Shiv Nadar","Technology"
"4","4.","Savitri Jindal & family","Metals & Mining"
"5","5.","Radhakishan Damani & family","Fashion & Retail"
"6","6.","Cyrus Poonawalla","Healthcare"
"7","7.","Hinduja family","Diversified"
"8","8.","Dilip Shanghvi & family","Healthcare"
"9","9.","Kumar Birla","Diversified"
"10","10.","Shapoor Mistry & family","Diversified"
"11","11.","Sunil Mittal & family","Telecom"
"12","12.","Godrej family","Diversified"
"13","13.","Lakshmi Mittal","Metals & Mining"
"14","14.","Bajaj Family","Diversified"
"15","15.","Uday Kotak","Finance & Investments"
"16","16.","Kushal Pal Singh","Real Estate"
"17","17.","Azim Premji","Technology"
"18","18.","Ravi Jaipuria","Food & Beverage"
"19","19.","Madhukar Parekh & family","Manufacturing"
"20","20.","Burman family","Food & Beverage"
"21","21.","Kuldip Singh & Gurbachan Singh Dhingra","Manufacturing"
"22","22.","Dani family","Manufacturing"
"23","23.","Sudhir & Samir Mehta","Healthcare"
"24","24.","Hasmukh Chudgar & family","Healthcare"
"25","25.","Murugappa Family","Diversified"
"26","26.","Benu Gopal Bangur","Manufacturing"
"27","27.","M.A. Yusuff Ali","Fashion & Retail"
"28","28.","Rekha Jhunjhunwala","Finance & Investments"
"29","29.","Ramesh and Rajeev Juneja & family","Healthcare"
"30","30.","Vinod and Anil Rai Gupta & family","Manufacturing"
"31","31.","Mangal Prabhat Lodha","Real Estate"
"32","32.","Inder Jaisinghani & family","Manufacturing"
"33","33.","Murali Divi & family","Healthcare"
"34","34.","Mahendra Choksi & family","Manufacturing"
"35","35.","Vikram Lal & family","Automotive"
"36","36.","Pankaj Patel","Healthcare"
"37","37.","Harsh Mariwala & family","Food & Beverage"
"38","38.","Girdhari Lal Bawri, Rajendra Agarwal and Banwari Lal Bawri","Healthcare"
"39","39.","Kapil & Rahul Bhatia","Service"
"40","40.","Nithin and Nikhil Kamath & family","Finance & Investments"
"41","41.","Vakil family","Manufacturing"
"42","42.","Vijay Chauhan & family","Food & Beverage"
"43","43.","Muthoot family","Finance & Investments"
"44","44.","Renuka Jagtiani","Fashion & Retail"
"45","45.","Leena Tewari","Healthcare"
"46","46.","Sridhar Vembu & siblings","Technology"
"47","47.","Singh family","Healthcare"
"48","48.","N.R. Narayana Murthy","Technology"
"49","49.","Chandru Raheja","Real Estate"
"50","50.","Joy Alukkas","Fashion & Retail"
"51","51.","Yusuf Hamied & family","Healthcare"
"52","52.","Nusli Wadia","Food & Beverage"
"53","53.","Vivek Chaand Sehgal & family","Automotive"
"54","54.","P.P. Reddy & P.V. Krishna Reddy","Construction & Engineering"
"55","55.","Baba Kalyani","Automotive"
"56","56.","Ajay Piramal","Healthcare"
"57","57.","Shamsheer Vayalil","Healthcare"
"58","58.","Vikas Oberoi","Real Estate"
"59","59.","Arvind Poddar & family","Automotive"
"60","60.","Dilip & Anand Surana","Healthcare"
"61","61.","Salil Singhal & family","Manufacturing"
"62","62.","Pawan Munjal & family","Automotive"
"63","63.","Karsanbhai Patel","Diversified"
"64","64.","Ravi Modi","Fashion & Retail"
"65","65.","Sandeep Engineer & family","Manufacturing"
"66","66.","Abhay Firodia","Automotive"
"67","67.","Senapathy Gopalakrishnan","Technology"
"68","68.","Acharya Balkrishna","Food & Beverage"
"69","69.","Ravi Pillai","Construction & Engineering"
"70","70.","Rajan Raheja & family","Diversified"
"71","71.","Bajranglal Taparia & family","Manufacturing"
"72","72.","Arun Bharat Ram","Manufacturing"
"73","73.","Yadu Hari Dalmia & family","Manufacturing"
"74","74.","Shyam & Hari Bhartia","Diversified"
"75","75.","Reddy Family","Healthcare"
"76","76.","Harsh Goenka","Diversified"
"77","77.","Nandan Nilekani","Technology"
"78","78.","Sunny Varkey","Service"
"79","79.","Lachhman Das Mittal","Automotive"
"80","80.","Gupta family","Healthcare"
"81","81.","Vivek Jain","Manufacturing"
"82","82.","Kalanithi Maran","Media & Entertainment"
"83","83.","Amalgamations family","Manufacturing"
"84","84.","Sanjiv Goenka","Diversified"
"85","85.","Sunder Genomal & family","Fashion & Retail"
"86","86.","Ranjan Pai","Healthcare"
"87","87.","Anu Aga","Construction & Engineering"
"88","88.","Falguni Nayar","Fashion & Retail"
"89","89.","Rafique Malik","Fashion & Retail"
"90","90.","Anand Mahindra","Diversified"
"91","91.","Nirmal Minda","Automotive"
"92","92.","Kiran Mazumdar-Shaw","Healthcare"
"93","93.","Anurang Jain & family","Manufacturing"
"94","94.","Prathap Reddy","Healthcare"
"95","95.","Venu Srinivasan","Automotive"
"96","96.","Bhadresh Shah","Manufacturing"
"97","97.","K. Dinesh","Technology"
"98","98.","P.V. Ramprasad Reddy","Healthcare"
"99","99.","R.G. Chandramogan","Food & Beverage"
"100","100.","K.P. Ramasamy & family","Manufacturing"
